test_row_position,fraud_score,rank,feature,shap_contribution,feature_value
12507,0.09427176839242771,1,C5,-0.6651752736642371,1.0
12507,0.09427176839242771,2,card6_freq,0.4404511889505215,0.26508415908782407
12507,0.09427176839242771,3,TransactionAmt,0.2815333942258069,160.9499969482422
12507,0.09427176839242771,4,D3,0.21288059062209166,0.0
12507,0.09427176839242771,5,addr1_time_since_first_seen,-0.2092015387006338,14695374.0
12507,0.09427176839242771,6,card5,-0.20249791780105583,102.0
12507,0.09427176839242771,7,C14,-0.19833095386511598,2.0
12507,0.09427176839242771,8,M4_freq,-0.19494570067256442,0.0
12507,0.09427176839242771,9,M6_freq,0.1908101393047371,0.5402227396769537
12507,0.09427176839242771,10,P_emaildomain_time_since_first_seen,-0.15133085511989186,14697276.0
31655,0.00017561034358816354,1,C3,-1.8270321333883048,1.0
31655,0.00017561034358816354,2,D1,-0.9517588555104426,603.0
31655,0.00017561034358816354,3,C13,-0.9018014053505532,55.0
31655,0.00017561034358816354,4,D2,-0.6432501632729822,603.0
31655,0.00017561034358816354,5,D13,-0.5502406718378297,230.0
31655,0.00017561034358816354,6,D6,-0.331521618661688,386.0
31655,0.00017561034358816354,7,D15,-0.33062552036737697,230.0
31655,0.00017561034358816354,8,TransactionAmt,-0.26836423116120134,35.0
31655,0.00017561034358816354,9,C8,-0.26309220271964345,5.0
31655,0.00017561034358816354,10,dist2,-0.2344440778152047,25.0
38384,0.9991378197055072,1,C1,2.557161556461681,193.0
38384,0.9991378197055072,2,id_04,0.8655701205978,-13.0
38384,0.9991378197055072,3,C11,0.6296223263132277,156.0
38384,0.9991378197055072,4,C5,0.5811764240501684,0.0
38384,0.9991378197055072,5,C6,0.4389190904805413,51.0
38384,0.9991378197055072,6,C8,0.4317488793480122,134.0
38384,0.9991378197055072,7,D8,0.3299043816256749,0.875
38384,0.9991378197055072,8,card6_freq,0.3109324518571998,0.26508415908782407
38384,0.9991378197055072,9,C2,0.31077390290332385,235.0
38384,0.9991378197055072,10,C12,0.30429778589563883,156.0
